USE_ID,CATCH_TYPE,USE_DESC
4679,PRIMARY,Edmondson Park PS (Provisional)
4092,PRIMARY,Hannans Rd PS
4672,PRIMARY,Denham Crt PS
3822,PRIMARY,Sutherland NPS
3122,PRIMARY,Stratheden PS
1799,PRIMARY,Dural PS
1246,PRIMARY,Blackheath PS
2652,PRIMARY,Mt Victoria PS
4641,PRIMARY,Shell Cove PS
1254,PRIMARY,Blakebrook PS
1596,PRIMARY,Colyton PS
2237,CENTRAL_PRIMARY,Jindabyne CS
2831,PRIMARY,Pambula PS
2943,PRIMARY,Raymond Terrace PS
1816,PRIMARY,Eden PS
1196,PRIMARY,Ben Lomond PS
1258,PRIMARY,Blaxland PS
1727,PRIMARY,Dapto PS
1822,PRIMARY,Congewai PS
1495,PRIMARY,Canobolas PS
2910,PRIMARY,Punchbowl PS
2500,PRIMARY,Mathoura PS
4112,PRIMARY,Deniliquin SPS
4382,PRIMARY,Jasper Rd PS
4369,PRIMARY,Lewisham PS
1574,PRIMARY,Clunes PS
1230,PRIMARY,Binalong PS
3255,PRIMARY,Tregeagle PS
7419,PRIMARY,Glebe PS
4364,PRIMARY,Toongabbie WPS
3506,PRIMARY,Woolomin PS
1548,PRIMARY,The Channon PS
4042,PRIMARY,Lindsay Park PS
2436,PRIMARY,Lyndhurst PS
4193,PRIMARY,Blacktown SPS
2973,PRIMARY,Rockdale PS
1508,PRIMARY,Caringbah PS
2752,PRIMARY,Nimmitabel PS
3678,PRIMARY,Warwick Farm PS
4061,PRIMARY,Blacktown NPS
2554,PRIMARY,Millers Forest PS
2641,PRIMARY,Mt Kanwary PS
2373,PRIMARY,La Perouse PS
1421,PRIMARY,Bungendore PS
4319,PRIMARY,Sadleir PS
4609,PRIMARY,Grahamstown PS
2628,PRIMARY,Moruya PS
2758,PRIMARY,Narooma PS
4378,PRIMARY,Whalan PS
1841,PRIMARY,Emu Plains PS
3110,PRIMARY,Stockton PS
1224,PRIMARY,Bilambil PS
3996,PRIMARY,Fern Bay PS
4442,PRIMARY,Emu Hts PS
4474,PRIMARY,Widemere PS
5116,INFANTS,Glen Innes WIS
3559,PRIMARY,Yetman PS
1066,CENTRAL_PRIMARY,Ashford CS
2509,PRIMARY,Meadow Flat PS
3529,PRIMARY,Wyrallah PS
4634,PRIMARY,Dalmeny PS
3453,PRIMARY,Athelstane PS
7401,PRIMARY,Arncliffe PS
5141,PRIMARY,Kyeemagh PS
2980,PRIMARY,Whian Whian PS
1797,PRIMARY,Dunoon PS
3065,PRIMARY,Shortland PS
4097,PRIMARY,Tuggerawong PS
4517,PRIMARY,Gorokan PS
4183,PRIMARY,Budgewoi PS
2259,PRIMARY,Kanwal PS
3373,PRIMARY,Wangi Wangi PS
4206,PRIMARY,Biddabah PS
4132,PRIMARY,Arcadia Vale PS
3147,PRIMARY,Tacoma PS
2532,PRIMARY,Bonnells Bay PS
3537,PRIMARY,Yanderra PS
3459,PRIMARY,Windsor PS
4365,PRIMARY,Hornsby NPS
1503,PRIMARY,Caragabal PS
1249,PRIMARY,Black Mountain PS
1593,PRIMARY,Collins Ck  PS
4662,PRIMARY,Wentworth PPS
1608,PRIMARY,Concord WPS
2625,PRIMARY,Mortlake PS
3123,PRIMARY,Strathfield NPS
4655,PRIMARY,Victoria Ave PS
4553,PRIMARY,Wiley Park PS
2394,PRIMARY,Lidcombe PS
4065,PRIMARY,Villawood NPS
3250,PRIMARY,Toukley PS
2173,PRIMARY,Homebush PS
1112,PRIMARY,Ballina PS
1424,PRIMARY,Bungwahl PS
3439,PRIMARY,Wiangaree PS
2235,PRIMARY,Jiggi PS
4066,PRIMARY,Windsor SPS
2270,PRIMARY,Kegworth PS
2171,PRIMARY,Holgate PS
7411,PRIMARY,Croydon PS
3226,PRIMARY,Tomerong PS
1885,PRIMARY,Euston PS
1181,PRIMARY,Bellingen PS
4565,PRIMARY,Clare PS
3035,PRIMARY,Salt Ash PS
1135,PRIMARY,Barham PS
4054,PRIMARY,Kingscliff PS
1780,PRIMARY,Lismore PS
4085,PRIMARY,Lismore Hts PS
3856,PRIMARY,Wyrallah Rd PS
2167,PRIMARY,Hinton PS
2211,PRIMARY,Iona PS
4543,PRIMARY,Wilkins PS
1136,PRIMARY,Barkers Vale PS
2190,PRIMARY,Huntingdon PS
1681,PRIMARY,Crescent Head PS
4196,PRIMARY,Kempsey SPS
4426,PRIMARY,Killarney Vale PS
1203,PRIMARY,Berkeley Vale PS
4542,PRIMARY,Chittaway Bay PS
2499,PRIMARY,Mascot PS
3269,PRIMARY,Tuggerah PS
4024,PRIMARY,Sylvania Hts PS
2375,PRIMARY,Larnook PS
2931,PRIMARY,Raleigh PS
2685,PRIMARY,Murrumburrah PS
1611,PRIMARY,Condong PS
1189,PRIMARY,Bemboka PS
2226,PRIMARY,Jerilderie PS
1168,PRIMARY,Bega Valley PS
1606,PRIMARY,Conargo PS
1261,PRIMARY,Blighty PS
2508,PRIMARY,Mayrung PS
4590,PRIMARY,Hambledon PS
1286,PRIMARY,Bolwarra PS
4289,PRIMARY,Lurnea PS
4561,PRIMARY,Rutherford PS
1849,PRIMARY,The Entrance PS
3183,PRIMARY,Teralba PS
2064,PRIMARY,Granville PS
3987,PRIMARY,Katoomba NPS
3886,PRIMARY,McCallums Hill PS
3949,PRIMARY,Maitland PS
3180,PRIMARY,Tenambit PS
2362,PRIMARY,Lake Munmorah PS
1714,PRIMARY,Currabubula PS
3328,PRIMARY,Carramar PS
3124,PRIMARY,Strathfield SPS
2950,PRIMARY,Regents Park PS
4310,PRIMARY,Walters Rd PS
1472,PRIMARY,Cabramatta PS
5220,PRIMARY,Lansvale PS
5251,PRIMARY,Homebush WPS
3808,PRIMARY,Chullora PS
4502,PRIMARY,Petersham PS
3979,PRIMARY,Bellambi PS
3973,PRIMARY,Russell Vale PS
4296,PRIMARY,Woonona EPS
3510,PRIMARY,Woonona PS
5133,INFANTS,Stanford Merthyr IS
3960,PRIMARY,Waniora PS
1411,PRIMARY,Bulli PS
3201,PRIMARY,Thirroul PS
1076,PRIMARY,Austinmer PS
2314,PRIMARY,Kirkton PS
1494,PRIMARY,Canley Vale PS
4658,CENTRAL_PRIMARY,Lindfield LV
3153,PRIMARY,Tallimba PS
4588,PRIMARY,Northlakes PS
1323,PRIMARY,Botany PS
1809,PRIMARY,Panania PS
4605,PRIMARY,Alfords Pt PS
1587,PRIMARY,Coledale PS
3883,PRIMARY,Westmead PS
5191,PRIMARY,Hornsby SPS
3475,PRIMARY,Wollongbar PS
2037,PRIMARY,Goolmangar PS
1583,PRIMARY,Coffee Camp PS
1118,PRIMARY,Bangalow PS
1204,PRIMARY,Bermagui PS
1217,PRIMARY,Bexhill PS
2214,PRIMARY,Fernleigh PS
2520,PRIMARY,Menai PS
4491,PRIMARY,Sackville St PS
2187,PRIMARY,Hoxton Park PS
3668,PRIMARY,Cronulla SPS
4391,PRIMARY,Lansvale EPS
4084,PRIMARY,Lilli Pilli PS
3283,PRIMARY,Tuntable Ck  PS
1123,PRIMARY,Greenacre PS
1121,PRIMARY,Banksmeadow PS
2799,PRIMARY,Old Bar PS
2640,PRIMARY,Mt Hunter PS
1490,PRIMARY,Candelo PS
4569,PRIMARY,Robert Townson PS
1288,PRIMARY,Bombala PS
1297,PRIMARY,Bonville PS
3943,PRIMARY,Gordon WPS
1564,PRIMARY,Clarence Town PS
1377,PRIMARY,Brooklyn PS
3854,PRIMARY,Hazelbrook PS
4492,PRIMARY,Woodland Rd PS
2540,PRIMARY,Michelago PS
1760,PRIMARY,Doonside PS
1573,PRIMARY,Clovelly PS
3390,PRIMARY,Warrawee PS
2812,PRIMARY,Orange Grove PS
7435,PRIMARY,Rozelle PS
1826,PRIMARY,Ellalong PS
4337,PRIMARY,Busby PS
1252,PRIMARY,Blackville PS
2076,PRIMARY,Greenwich PS
1485,PRIMARY,Cammeray PS
2930,PRIMARY,Rainbow St PS
1209,PRIMARY,Berrima PS
2283,PRIMARY,Kensington PS
1335,PRIMARY,Bowral PS
3985,PRIMARY,Gordon EPS
3211,PRIMARY,Tibooburra Outback PS
4117,PRIMARY,Warnervale PS
3875,PRIMARY,Narwee PS
4432,PRIMARY,Mimosa PS
4646,PRIMARY,Elderslie PS
4675,PRIMARY,Porters Creek PS
1838,CENTRAL_PRIMARY,Emmaville CS
4637,PRIMARY,Woongarrah PS
4623,PRIMARY,Blue Haven PS
1634,PRIMARY,Coorabell PS
3378,PRIMARY,Wardell PS
4571,PRIMARY,Banks PS
2431,PRIMARY,Luddenham PS
4559,PRIMARY,Blackwell PS
3615,PRIMARY,Kemps Ck  PS
3200,PRIMARY,Thirlmere PS
2581,PRIMARY,Mittagong PS
1084,PRIMARY,Awaba PS
1969,PRIMARY,Gerogery PS
4190,PRIMARY,Black Springs PS
2496,PRIMARY,Marulan PS
2760,PRIMARY,Normanhurst PS
3422,PRIMARY,Wentworth Falls PS
4531,PRIMARY,St Clair PS
1177,PRIMARY,Bellbird PS
4527,PRIMARY,Clairgate PS
2381,PRIMARY,Lawson PS
4354,PRIMARY,Faulconbridge PS
3095,PRIMARY,Springwood PS
3290,PRIMARY,Tweed Hds PS
3091,PRIMARY,Spring Ridge PS
1001,PRIMARY,Abbotsford PS
1658,PRIMARY,Corowa PS
4055,PRIMARY,Oxley Park PS
3321,PRIMARY,Vacy PS
4554,PRIMARY,Prairievale PS
2675,CENTRAL_PRIMARY,Mungindi CS
2846,PRIMARY,Paxton PS
1307,PRIMARY,Boomi PS
3412,PRIMARY,Wee Jasper PS
3178,PRIMARY,Temora PS
3154,PRIMARY,Tallong PS
1257,PRIMARY,Blaxcell St PS
1414,PRIMARY,Bundanoon PS
2860,PRIMARY,Penrose PS
1749,PRIMARY,Denman PS
1674,PRIMARY,Crabbes Ck  PS
2890,PRIMARY,The Pocket PS
4539,PRIMARY,Thomas Acres PS
3168,PRIMARY,Taren Pt PS
8556,CENTRAL_PRIMARY,Alexandria Park CS
1685,PRIMARY,Crossmaglen PS
2330,PRIMARY,Kororo PS
3977,PRIMARY,Villawood EPS
2015,PRIMARY,Glenquarry PS
4529,PRIMARY,Glenwood PS
4195,PRIMARY,Warrimoo PS
4593,PRIMARY,Kearns PS
3008,PRIMARY,Rouse Hill PS
7412,PRIMARY,Croydon Park PS
3873,PRIMARY,Dobroyd Pt PS
3744,PRIMARY,Warragamba PS
2789,PRIMARY,Oakdale PS
3162,PRIMARY,Tarago PS
2327,PRIMARY,Kootingal PS
1361,PRIMARY,Broadwater PS
7422,PRIMARY,Kurri Kurri PS
2855,PRIMARY,Pelaw Main PS
1460,PRIMARY,Buxton PS
1542,PRIMARY,Cessnock PS
1545,PRIMARY,Cessnock WPS
2354,PRIMARY,Laggan PS
5118,PRIMARY,Harcourt PS
3165,PRIMARY,Tarcutta PS
2696,PRIMARY,Nambucca Hds PS
1745,PRIMARY,Delegate PS
2340,PRIMARY,Kurmond PS
4578,PRIMARY,Teven-Tintenbar PS
4313,PRIMARY,Blaxland EPS
3461,PRIMARY,Wingello PS
2631,PRIMARY,Moss Vale PS
1081,PRIMARY,Avoca PS
1445,PRIMARY,Burrawang PS
3866,PRIMARY,Towradgi PS
3143,PRIMARY,Sylvania PS
2255,PRIMARY,Kangaloon PS
2736,PRIMARY,Newcastle EPS
3659,PRIMARY,Sussex Inlet PS
1340,CENTRAL_PRIMARY,Braidwood CS
4536,PRIMARY,Bangor PS
4404,PRIMARY,Narranga PS
2256,PRIMARY,Kangaroo Valley PS
1584,PRIMARY,Coffs Harbour PS
4557,PRIMARY,Sandy Beach PS
4606,PRIMARY,Mullaway PS
1453,PRIMARY,Burrumbuttock PS
2278,PRIMARY,Kempsey EPS
1266,PRIMARY,Boambee PS
3503,PRIMARY,Woolgoolga PS
2071,PRIMARY,Green Hill PS
3070,PRIMARY,Singleton PS
2117,PRIMARY,Haberfield PS
1065,PRIMARY,Ashfield PS
4560,PRIMARY,Samuel Terry PS
3221,PRIMARY,Tintinhull PS
4541,PRIMARY,Werrington County PS
3833,PRIMARY,Wahroonga PS
5195,INFANTS,Hurstville Grove IS
4625,PRIMARY,Currans Hill PS
1471,PRIMARY,Cabbage Tree IPS
1227,PRIMARY,Ocean Shores PS
4292,PRIMARY,Engadine WPS
1389,PRIMARY,Brunswick Hds PS
4657,PRIMARY,Spring Farm PS
7432,PRIMARY,Paddington PS
4597,PRIMARY,Mt Annan PS
3338,PRIMARY,Walbundrie PS
2793,PRIMARY,The Oaks PS
1580,PRIMARY,Cobbitty PS
1793,PRIMARY,Dungowan PS
2236,PRIMARY,Jilliby PS
4618,PRIMARY,Nth Nowra PS
1770,PRIMARY,Douglas Park PS
2109,PRIMARY,Gunnedah PS
8271,CENTRAL_PRIMARY,Lucas Hts CS
2260,PRIMARY,Karangi PS
2955,PRIMARY,Repton PS
3173,PRIMARY,Tathra PS
1635,PRIMARY,Cooranbong PS
3777,PRIMARY,Pymble PS
1015,PRIMARY,Albion Park PS
4424,PRIMARY,Lapstone PS
2769,PRIMARY,Nowra PS
2372,PRIMARY,Upper Lansdowne PS
3136,PRIMARY,Sutherland PS
1886,CENTRAL_PRIMARY,Evans River CS
1891,PRIMARY,Exeter PS
3103,PRIMARY,Stanwell Park PS
2849,PRIMARY,Peakhurst PS
3490,PRIMARY,Woodburn PS
2616,PRIMARY,Moorland PS
3006,PRIMARY,Rous PS
1670,PRIMARY,Cowper PS
2334,PRIMARY,Kulnura PS
2867,PRIMARY,Picton PS
1082,PRIMARY,Avoca Beach PS
4548,PRIMARY,Copacabana PS
2083,PRIMARY,Gresford PS
4466,PRIMARY,Mawarra PS
3119,PRIMARY,Stratford PS
1402,CENTRAL_PRIMARY,Bulahdelah CS
4583,PRIMARY,Edensor Park PS
2075,PRIMARY,Green Valley PS
3078,PRIMARY,Somersby PS
1802,PRIMARY,Duri PS
1016,PRIMARY,Timbumburi PS
3239,PRIMARY,Toomelah PS
2827,PRIMARY,Pallamallawa PS
3826,PRIMARY,Gwynneville PS
4397,PRIMARY,Wyoming PS
3954,PRIMARY,Wollongong PS
4612,PRIMARY,Broulee PS
4095,PRIMARY,Mt Ousley PS
2246,PRIMARY,The Junction PS
3932,PRIMARY,Waratah WPS
4433,PRIMARY,Wideview PS
2333,PRIMARY,Krambach PS
3903,PRIMARY,Glen Alice PS
1228,PRIMARY,Bilpin PS
4501,PRIMARY,Barrack Hts PS
3566,PRIMARY,Zig Zag PS
1952,PRIMARY,Galston PS
1205,PRIMARY,Berowra PS
3632,PRIMARY,Fairfield Hts PS
3163,PRIMARY,Taralga PS
2695,PRIMARY,Nabiac PS
2454,PRIMARY,Malabar PS
2665,PRIMARY,Mullumbimby PS
2027,PRIMARY,Gol Gol PS
3421,PRIMARY,Wentworth PS
1732,PRIMARY,Dareton PS
3158,PRIMARY,Tamworth WPS
3048,PRIMARY,Seaham PS
2730,PRIMARY,Neutral Bay PS
1856,PRIMARY,Erina Hts PS
4611,PRIMARY,Hallidays Pt PS
2647,PRIMARY,Mt Pleasant PS
1276,PRIMARY,Boggabri PS
4486,PRIMARY,Singleton Hts PS
1632,PRIMARY,Coopernook PS
4647,PRIMARY,Middleton Grange PS
4635,PRIMARY,Cecil Hills PS
4613,PRIMARY,Hinchinbrook PS
1201,PRIMARY,Beresfield PS
2820,PRIMARY,Ourimbah PS
2515,PRIMARY,Megalong PS
2965,PRIMARY,Richmond NPS
1551,PRIMARY,Pacific Palms PS
1627,PRIMARY,Coolongolook PS
1504,PRIMARY,Carcoar PS
1483,PRIMARY,Camdenville PS
7431,PRIMARY,Newtown PS
7436,PRIMARY,Stanmore PS
4506,PRIMARY,Toormina PS
2896,PRIMARY,Port Kembla PS
1360,PRIMARY,Bringelly PS
2887,PRIMARY,Plumpton PS
4648,PRIMARY,John Palmer PS
2182,PRIMARY,Horsley Park PS
2797,PRIMARY,Oberon PS
5212,PRIMARY,Beauty Pt PS
1943,PRIMARY,Frederickton PS
2366,PRIMARY,Lambton PS
7314,PRIMARY,Wingham PS
2660,PRIMARY,Mullaley PS
1311,PRIMARY,Booral PS
1150,PRIMARY,Bathurst PS
3219,PRIMARY,Tinonee PS
2370,PRIMARY,Lansdowne PS
3125,PRIMARY,Stroud PS
3126,PRIMARY,Stroud Rd PS
1840,PRIMARY,Empire Vale PS
1111,PRIMARY,Ballimore PS
2732,PRIMARY,Neville PS
4566,PRIMARY,Brooke Ave PS
1708,PRIMARY,Cundletown PS
1742,PRIMARY,Deepwater PS
3191,PRIMARY,Terrigal PS
2725,PRIMARY,Nemingha PS
1030,PRIMARY,Alstonville PS
2585,PRIMARY,Modanville PS
2526,PRIMARY,Merimbula PS
2917,PRIMARY,Quaama PS
1272,PRIMARY,Bodalla PS
4575,PRIMARY,Wingham Brush PS
3167,PRIMARY,Taree PS
3909,PRIMARY,Taree WPS
4014,PRIMARY,Chatham PS
1879,PRIMARY,Eureka PS
1167,PRIMARY,Beelbangera PS
2664,PRIMARY,Mullion Ck  PS
4437,PRIMARY,Hillvue PS
4027,PRIMARY,Griffith NPS
1864,PRIMARY,Ettalong PS
1051,CENTRAL_PRIMARY,Ardlethan CS
2935,PRIMARY,Rankins Springs PS
1991,PRIMARY,Gladstone PS
3561,PRIMARY,Yoogali PS
2363,PRIMARY,Lake Wyangan PS
1994,PRIMARY,Glenbrook PS
3176,PRIMARY,Telegraph Pt PS
3185,PRIMARY,Terara PS
1449,PRIMARY,Burringbar PS
3673,PRIMARY,St Georges Basin PS
1642,PRIMARY,Copmanhurst PS
3797,PRIMARY,Oatley WPS
4552,PRIMARY,Manning Gardens PS
1607,PRIMARY,Concord PS
3346,PRIMARY,Wallacia PS
1792,PRIMARY,Dungog PS
1055,CENTRAL_PRIMARY,Ariah Park CS
2796,PRIMARY,Oatley PS
1974,PRIMARY,Sandy Hollow PS
4268,PRIMARY,Griffith EPS
2492,PRIMARY,Martindale PS
1296,PRIMARY,Bonshaw PS
2948,PRIMARY,Red Range PS
3214,PRIMARY,Central Tilba PS
1915,PRIMARY,Fingal Head PS
3025,PRIMARY,Rylstone PS
2550,PRIMARY,Milbrodale PS
3491,CENTRAL_PRIMARY,Woodenbong CS
4639,PRIMARY,Kellyville Ridge PS
2005,PRIMARY,Glen Innes PS
2983,PRIMARY,Rocky River PS
3416,PRIMARY,Wee Waa PS
2494,PRIMARY,Martins Gully PS
1789,CENTRAL_PRIMARY,Dunedoo CS
2465,PRIMARY,Manildra PS
2668,PRIMARY,Clergate PS
5265,PRIMARY,Bletchington PS
3626,PRIMARY,Enngonia PS
2919,PRIMARY,Quambone PS
3501,PRIMARY,Woolbrook PS
4103,PRIMARY,Telopea PS
2280,PRIMARY,Kendall PS
2902,PRIMARY,Pretty Beach PS
2558,PRIMARY,Millthorpe PS
2432,PRIMARY,Lue PS
2353,PRIMARY,Ladysmith PS
1499,PRIMARY,Uranquinty PS
1712,PRIMARY,Curlewis PS
1350,CENTRAL_PRIMARY,Brewarrina CS
3342,PRIMARY,Walgett CCPS
4631,PRIMARY,Surveyors Ck  PS
1601,PRIMARY,Comboyne PS
2131,PRIMARY,Hannam Vale PS
4375,PRIMARY,Ashmont PS
3046,PRIMARY,Schofields PS
4653,PRIMARY,Riverbank PS
4411,PRIMARY,Westport PS
3499,PRIMARY,Woodstock PS
4682,PRIMARY,Gregory Hills PS
4667,PRIMARY,Gledswood Hills PS
3947,PRIMARY,Quirindi PS
3345,PRIMARY,Wallabadah PS
4591,PRIMARY,Glenmore Park PS
2565,PRIMARY,Milton PS
3402,PRIMARY,Wattle Flat PS
2254,PRIMARY,Kandos PS
5242,PRIMARY,Mulyan PS
2172,PRIMARY,Holmwood PS
2070,PRIMARY,Greenethorpe PS
3451,PRIMARY,Willow Tree PS
4305,PRIMARY,Weilmoringle PS
2951,PRIMARY,Regentville PS
1700,PRIMARY,Cullen Bullen PS
4544,PRIMARY,Jamisontown PS
4482,PRIMARY,York PS
2659,PRIMARY,Mulgoa PS
4677,PRIMARY,Nangamay PS
1447,PRIMARY,Burren Junction PS
3580,PRIMARY,Rowena PS
4118,PRIMARY,Moree EPS
2038,PRIMARY,Gooloogong PS
1507,PRIMARY,Carinda PS
4454,PRIMARY,Marra Ck  PS
4233,PRIMARY,Railway Town PS
1371,PRIMARY,Broken Hill NPS
3741,PRIMARY,Goulburn WPS
4428,PRIMARY,Southern Cross CS
1684,PRIMARY,Crookwell PS
1723,PRIMARY,Dalton PS
2897,CENTRAL_PRIMARY,Portland CS
3031,PRIMARY,St Marys PS
4410,PRIMARY,Red Hill PS
4484,PRIMARY,Cambridge Gardens PS
1256,PRIMARY,Blandford PS
7311,PRIMARY,Scone PS
1182,PRIMARY,Belltrees PS
1002,PRIMARY,Aberdeen PS
2688,PRIMARY,Muswellbrook PS
2870,PRIMARY,Pilliga PS
1631,PRIMARY,Coonamble PS
2798,PRIMARY,O'Connell PS
2410,PRIMARY,Lithgow PS
4173,PRIMARY,Kooringal PS
4215,PRIMARY,Mt Austin PS
4209,PRIMARY,Temora WPS
1175,PRIMARY,Bellata PS
2115,PRIMARY,Gwabegar PS
2094,CENTRAL_PRIMARY,Gulargambone CS
1630,PRIMARY,Coonabarabran PS
1345,PRIMARY,Breadalbane PS
2423,PRIMARY,Long Flat PS
2357,PRIMARY,Lake Albert PS
4144,PRIMARY,Turvey Park PS
3333,PRIMARY,Sth Wagga PS
4262,PRIMARY,Mallawa PS
3717,PRIMARY,Croppa Ck  PS
1579,PRIMARY,Cobargo PS
3242,PRIMARY,Tooraweenah PS
2136,PRIMARY,Hargraves PS
2669,PRIMARY,Mumbil PS
3127,PRIMARY,Stuart Town PS
2201,PRIMARY,Ilford PS
1501,PRIMARY,Capertee PS
1956,PRIMARY,Garah PS
1275,CENTRAL_PRIMARY,Boggabilla CS
1926,PRIMARY,Forbes PS
2704,PRIMARY,Narellan PS
4628,PRIMARY,Harrington Park PS
2590,CENTRAL_PRIMARY,Molong CS
3077,PRIMARY,Sofala PS
4457,PRIMARY,Sturt PS
1930,PRIMARY,Forest Hill PS
1231,PRIMARY,Binda PS
4406,PRIMARY,Bradfordville PS
2111,PRIMARY,Gunning PS
2267,PRIMARY,Kearsley PS
1695,PRIMARY,Cudal PS
2714,PRIMARY,Nashdale PS
3487,PRIMARY,Wongarbon PS
4538,PRIMARY,Bowen PS
1334,PRIMARY,Bowning PS
2811,PRIMARY,Orange EPS
2326,PRIMARY,Koorawatha PS
1130,CENTRAL_PRIMARY,Baradine CS
2036,PRIMARY,Goolma PS
3254,CENTRAL_PRIMARY,Trangie CS
3425,PRIMARY,Werris Ck  PS
4018,PRIMARY,Gunnedah SPS
1870,PRIMARY,Eugowra PS
1506,PRIMARY,Cargo PS
3260,PRIMARY,Trunkey PS
2974,PRIMARY,Rockley PS
3847,PRIMARY,Bathurst SPS
2862,PRIMARY,Perthville PS
1247,PRIMARY,Black Hill PS
2161,PRIMARY,Hill End PS
1207,PRIMARY,Berrigan PS
2429,PRIMARY,Lowesdale PS
3923,PRIMARY,Kapooka PS
4670,PRIMARY,Galungara PS
4576,PRIMARY,William Dean PS
2970,PRIMARY,Riverstone PS
4598,PRIMARY,Hassall Grove PS
2918,PRIMARY,Quakers Hill PS
2275,PRIMARY,Kelso PS
1260,PRIMARY,Blayney PS
4564,PRIMARY,Wirreanda PS
1223,PRIMARY,Bigga PS
4562,PRIMARY,Sunshine Bay PS
2686,PRIMARY,Murrurundi PS
3365,PRIMARY,Wanaaring PS
1432,PRIMARY,Burke Ward PS
2523,CENTRAL_PRIMARY,Menindee CS
1369,PRIMARY,Broken Hill PS
1814,PRIMARY,Ebor PS
1198,PRIMARY,Ben Venue PS
1057,PRIMARY,Armidale City PS
1979,PRIMARY,Gilgandra PS
2522,CENTRAL_PRIMARY,Mendooran CS
1165,PRIMARY,Beechwood PS
3404,PRIMARY,Wauchope PS
2751,CENTRAL_PRIMARY,Nimbin CS
3298,PRIMARY,Uki PS
1028,PRIMARY,Alma PS
3760,PRIMARY,Upper Coopers Ck  PS
4478,PRIMARY,Newling PS
5696,PRIMARY,Sandon PS
2033,CENTRAL_PRIMARY,Goodooga CS
1237,CENTRAL_PRIMARY,Binnaway CS
1527,PRIMARY,Cassilis PS
2157,PRIMARY,Herons Ck  PS
4654,PRIMARY,Lake Cathie PS
7416,PRIMARY,Eastwood PS
2895,PRIMARY,Pooncarie PS
2893,PRIMARY,Pomona PS
3912,PRIMARY,Palinyewah PS
1688,PRIMARY,Buronga PS
2395,CENTRAL_PRIMARY,Lightning Ridge CS
2273,PRIMARY,Kellys Plains PS
1867,PRIMARY,Euabalong WPS
1415,CENTRAL_PRIMARY,Bundarra CS
1293,PRIMARY,Bongongo PS
1387,PRIMARY,Brungle PS
3981,PRIMARY,Chester Hill NPS
4438,PRIMARY,Wollondilly PS
2623,PRIMARY,Morpeth PS
2681,PRIMARY,Murringo PS
1543,PRIMARY,Cessnock EPS
2035,PRIMARY,Goolgowi PS
1238,PRIMARY,Binya PS
3554,PRIMARY,Yenda PS
4680,PRIMARY,Googong PS
2286,PRIMARY,Kentucky PS
4394,PRIMARY,Queanbeyan SPS
4633,PRIMARY,Jerrabomberra PS
2103,PRIMARY,Gundagai SPS
2102,PRIMARY,Gundagai PS
3855,PRIMARY,Turramurra PS
2886,PRIMARY,Pleasant Hls PS
3195,PRIMARY,Tharbogang PS
2087,PRIMARY,Griffith PS
2132,PRIMARY,Hanwood PS
2310,PRIMARY,Kingstown PS
1058,PRIMARY,Drummond MPS
2699,PRIMARY,Nangus PS
1883,PRIMARY,Eurongilly PS
2203,PRIMARY,Illabo PS
2248,PRIMARY,Junee NPS
2145,PRIMARY,Hay PS
3218,PRIMARY,Tingha PS
2100,PRIMARY,Gum Flat PS
1978,PRIMARY,Gilgai PS
2209,PRIMARY,Inverell PS
2082,PRIMARY,Grenfell PS
2920,PRIMARY,Quandialla PS
2599,PRIMARY,Monteagle PS
4241,PRIMARY,Cromer PS
3885,PRIMARY,Mt Colah PS
4403,PRIMARY,Bradbury PS
1486,PRIMARY,Campbelltown PS
4348,CENTRAL_PRIMARY,Coleambally CS
1736,PRIMARY,Darlington Pt PS
2068,PRIMARY,Gravesend PS
2116,PRIMARY,Gymea Bay PS
3914,PRIMARY,Grays Pt PS
4075,PRIMARY,Kirrawee PS
4124,PRIMARY,Yowie Bay PS
2448,PRIMARY,Maimuru PS
1354,PRIMARY,Bribbaree PS
4131,PRIMARY,Young NPS
3482,PRIMARY,Wombat PS
4318,PRIMARY,Hillsborough PS
2386,PRIMARY,Leeton PS
3536,PRIMARY,Yanco PS
2710,PRIMARY,Narrandera PS
2501,PRIMARY,Matong PS
4194,PRIMARY,Charlestown EPS
3874,PRIMARY,Kahibah PS
4127,PRIMARY,Queanbeyan WPS
2946,PRIMARY,Redhead PS
3353,PRIMARY,Wallendbeen PS
4485,PRIMARY,Culburra PS
2708,PRIMARY,Narrabri PS
1747,PRIMARY,Delungra PS
1234,CENTRAL_PRIMARY,Bingara CS
1140,CENTRAL_PRIMARY,Barraba CS
1954,PRIMARY,Ganmain PS
1624,CENTRAL_PRIMARY,Coolamon CS
2485,PRIMARY,Marrar PS
3109,PRIMARY,Stockinbingal PS
2574,PRIMARY,Miranda PS
1835,PRIMARY,Eltham PS
4371,PRIMARY,Queanbeyan EPS
1502,PRIMARY,Captains Flat PS
1347,PRIMARY,Bredbo PS
3364,PRIMARY,Wamoon PS
3525,PRIMARY,Wyndham PS
3925,PRIMARY,Curl Curl NPS
4021,PRIMARY,Manly Vale PS
3454,PRIMARY,Wilsons Ck  PS
3927,PRIMARY,Belmont NPS
4379,PRIMARY,Floraville PS
3643,PRIMARY,Stuarts Pt PS
3556,PRIMARY,Yerong Ck  PS
2343,PRIMARY,Kurrajong EPS
4214,INFANTS,Narrandera EIS
3893,PRIMARY,Windale PS
